SEASON_ID,TEAM_NAME,TER,W_PCT
2004-05,76ers,0.364522985,0.524
2004-05,Bucks,0.362264433,0.366
2004-05,Bulls,0.331501889,0.573
2004-05,Cavaliers,0.389546651,0.512
2004-05,Celtics,0.385542052,0.549
2004-05,Clippers,0.36365642,0.451
2004-05,Grizzlies,0.373409236,0.549
2004-05,Hawks,0.3269561,0.159
2004-05,Heat,0.400572837,0.72
2004-05,Hornets,0.360826146,0.22
2004-05,Jazz,0.320446402,0.317
2004-05,Kings,0.381850758,0.61
2004-05,Knicks,0.364984131,0.402
2004-05,Lakers,0.360192087,0.415
2004-05,Magic,0.337422675,0.439
2004-05,Mavericks,0.390835226,0.707
2004-05,Nets,0.347081796,0.512
2004-05,Nuggets,0.383163558,0.598
2004-05,Pacers,0.358367186,0.537
2004-05,Pelicans,0.317494378,0.22
2004-05,Pistons,0.383216222,0.659
2004-05,Raptors,0.357915463,0.402
2004-05,Rockets,0.397753957,0.622
2004-05,Spurs,0.39063468,0.72
2004-05,Suns,0.414516388,0.756
2004-05,Thunder,0.374298207,0.634
2004-05,Timberwolves,0.395291956,0.537
2004-05,TrailBlazers,0.354940886,0.329
2004-05,Warriors,0.370415509,0.415
2004-05,Wizards,0.377614999,0.549
2005-06,76ers,0.366079037,0.463
2005-06,Bucks,0.358697729,0.488
2005-06,Bulls,0.341823382,0.5
2005-06,Cavaliers,0.367770549,0.61
2005-06,Celtics,0.349863333,0.402
2005-06,Clippers,0.365644261,0.573
2005-06,Grizzlies,0.363228196,0.598
2005-06,Hawks,0.352945308,0.317
2005-06,Heat,0.378654925,0.634
2005-06,Hornets,0.355256847,0.317
2005-06,Jazz,0.354187459,0.5
2005-06,Kings,0.369937071,0.537
2005-06,Knicks,0.343547624,0.28
2005-06,Lakers,0.370949174,0.549
2005-06,Magic,0.350560669,0.439
2005-06,Mavericks,0.390971306,0.732
2005-06,Nets,0.354345754,0.598
2005-06,Nuggets,0.369732654,0.537
2005-06,Pacers,0.348095971,0.5
2005-06,Pelicans,0.349723857,0.463
2005-06,Pistons,0.407828775,0.78
2005-06,Raptors,0.366615374,0.329
2005-06,Rockets,0.33540238,0.415
2005-06,Spurs,0.380717376,0.768
2005-06,Suns,0.409000629,0.659
2005-06,Thunder,0.380666923,0.427
2005-06,Timberwolves,0.349807731,0.402
2005-06,TrailBlazers,0.326763518,0.256
2005-06,Warriors,0.347707525,0.415
2005-06,Wizards,0.37048144,0.512
2006-07,76ers,0.353923904,0.427
2006-07,Bucks,0.369589368,0.341
2006-07,Bulls,0.366348095,0.598
2006-07,Cavaliers,0.365825615,0.61
2006-07,Celtics,0.337744393,0.293
2006-07,Clippers,0.367028309,0.488
2006-07,Grizzlies,0.368217793,0.268
2006-07,Hawks,0.344762376,0.366
2006-07,Heat,0.361536873,0.537
2006-07,Hornets,0.356870732,0.402
2006-07,Jazz,0.390984915,0.622
2006-07,Kings,0.357400349,0.402
2006-07,Knicks,0.34516414,0.402
2006-07,Lakers,0.376563066,0.512
2006-07,Magic,0.35211608,0.488
2006-07,Mavericks,0.391170413,0.817
2006-07,Nets,0.362445342,0.5
2006-07,Nuggets,0.371863412,0.549
2006-07,Pacers,0.34987658,0.427
2006-07,Pelicans,0.351793243,0.476
2006-07,Pistons,0.397999335,0.646
2006-07,Raptors,0.372827824,0.573
2006-07,Rockets,0.372202283,0.634
2006-07,Spurs,0.391649026,0.707
2006-07,Suns,0.414569274,0.744
2006-07,Thunder,0.364466369,0.378
2006-07,Timberwolves,0.354063144,0.39
2006-07,TrailBlazers,0.347003703,0.39
2006-07,Warriors,0.369195574,0.512
2006-07,Wizards,0.377685392,0.5
2007-08,76ers,0.383985883,0.488
2007-08,Bucks,0.357617674,0.317
2007-08,Bulls,0.349619012,0.402
2007-08,Cavaliers,0.382991511,0.549
2007-08,Celtics,0.40025054,0.805
2007-08,Clippers,0.335255453,0.28
2007-08,Grizzlies,0.32997367,0.268
2007-08,Hawks,0.382904558,0.451
2007-08,Heat,0.34515058,0.183
2007-08,Hornets,0.37459674,0.39
2007-08,Jazz,0.421891735,0.659
2007-08,Kings,0.355818379,0.463
2007-08,Knicks,0.338298033,0.28
2007-08,Lakers,0.414927673,0.695
2007-08,Magic,0.385880672,0.634
2007-08,Mavericks,0.392604511,0.622
2007-08,Nets,0.363863591,0.415
2007-08,Nuggets,0.405719944,0.61
2007-08,Pacers,0.361610493,0.439
2007-08,Pelicans,0.403271287,0.683
2007-08,Pistons,0.404925198,0.72
2007-08,Raptors,0.397790815,0.5
2007-08,Rockets,0.380718984,0.671
2007-08,Spurs,0.383866785,0.683
2007-08,Suns,0.416569749,0.671
2007-08,Thunder,0.324742531,0.244
2007-08,Timberwolves,0.348287752,0.268
2007-08,TrailBlazers,0.366551447,0.5
2007-08,Warriors,0.397600153,0.585
2007-08,Wizards,0.379995956,0.524
2008-09,76ers,0.375793709,0.5
2008-09,Bucks,0.349545721,0.415
2008-09,Bulls,0.382293832,0.5
2008-09,Cavaliers,0.397444311,0.805
2008-09,Celtics,0.384567456,0.756
2008-09,Clippers,0.35110393,0.232
